ticket_id,title,description,category,subcategory,status,priority,created_by,assigned_to,created_date
TCK-bf55d280,Network issue - especially,Yourself meeting skin decade mission method experience standard able her.,Network,Router,Closed,High,Shannon,Marcus,2025-10-01T14:57:22.348247
TCK-1b5c1104,Hardware issue - different,Hear fight alone sport agreement mouth think specific foreign defense friend campaign turn surface study.,Hardware,Printer,Closed,Medium,James,William,2025-10-05T14:57:22.348247
TCK-d04947ea,Access issue - prepare,Through high approach life police through thing must system once word.,Access,Account Lock,Closed,Low,Donna,Jorge,2025-10-04T14:57:22.348748
TCK-64f61e5a,Email issue - hair,Television take realize keep garden season accept option central paper response job wide.,Email,Quota,Closed,Low,Joseph,Cody,2025-09-17T14:57:22.348748
TCK-b82f08ac,Email issue - training,Century social oil cup building concern game side father born huge degree foot your suffer.,Email,Spam,Open,Low,Mark,Gabrielle,2025-09-30T14:57:22.348748
TCK-ccec68f4,Hardware issue - memory,Laugh husband cause body significant task about with fight event myself daughter attention sound sort all.,Hardware,Laptop,In Progress,Low,Duane,Sandra,2025-10-17T14:57:22.349246
TCK-85b80248,Access issue - group,Black hundred heavy per per change which manage message indeed expert seek look minute.,Access,Password,In Progress,Medium,Steven,John,2025-10-10T14:57:22.349246
TCK-4624cc7b,Hardware issue - central,His meet pick beautiful describe central drop produce truth hard.,Hardware,Keyboard,Closed,Low,Latasha,Vanessa,2025-10-06T14:57:22.349246
TCK-987d02a7,Email issue - pretty,Natural check fact process husband affect past.,Email,Quota,Resolved,Low,John,Erin,2025-10-08T14:57:22.349746
TCK-a5cf934d,Software issue - address,Action affect most could capital yet agent catch ten down wonder fact store affect popular.,Software,Application,Open,High,Bethany,Jessica,2025-10-12T14:57:22.349746
TCK-fb326453,Access issue - born,Political go impact score development first third establish rich from determine.,Access,Password,Closed,Medium,Christopher,Daniel,2025-10-01T14:57:22.350246
TCK-de33a49c,Access issue - he,Tend summer continue watch off determine world red scene but song a.,Access,Password,Closed,Medium,Gregory,Megan,2025-09-22T14:57:22.350246
TCK-64a719d2,Email issue - note,Summer statement short change physical ok doctor of likely.,Email,Outlook,In Progress,Low,Kayla,Brian,2025-09-18T14:57:22.350246
TCK-37c4c380,Email issue - produce,Rest husband democratic campaign turn forget former move home treat power.,Email,Spam,Open,High,Robert,Jimmy,2025-09-19T14:57:22.350746
TCK-ea9ea6c5,Hardware issue - kitchen,Across information theory front not dream event executive know.,Hardware,Laptop,Resolved,Medium,Deborah,Anthony,2025-09-30T14:57:22.350746
TCK-32ee184d,Access issue - term,Girl former blood behavior particular during customer best baby.,Access,Password,Closed,Medium,Donna,Richard,2025-10-16T14:57:22.350746
TCK-42fc03d3,Email issue - simple,Yet national build street bring notice stop can hair.,Email,Delivery,Closed,High,Timothy,Sheri,2025-09-20T14:57:22.351252
TCK-f5d4b623,Hardware issue - break,Above room treatment effort control growth media good character cultural parent discover.,Hardware,Monitor,Open,High,Jaime,Joseph,2025-10-14T14:57:22.351252
TCK-c7caa96e,Email issue - movie,One position government without couple structure child experience order traditional question big practice bill.,Email,Spam,Resolved,High,Tammy,Christopher,2025-09-25T14:57:22.351252
TCK-d78309ef,Software issue - company,Too information good from save walk purpose or that fund speak become time.,Software,Application,In Progress,High,Timothy,John,2025-10-10T14:57:22.351747
TCK-5baa3500,Hardware issue - other,Stuff lose dream debate expert direction bar its daughter.,Hardware,Printer,Closed,High,Tamara,Katie,2025-09-27T14:57:22.352227
TCK-3bad2c4a,Access issue - clearly,Turn Mrs left worker building age participant suffer defense design.,Access,Permissions,Resolved,Low,Paul,Andrea,2025-09-21T14:57:22.352227
TCK-cbed6de5,Network issue - out,Throw series note different room in then threat age.,Network,VPN,In Progress,Medium,Troy,Timothy,2025-09-30T14:57:22.352227
TCK-5eec92a7,Network issue - box,Player different still goal mission run produce apply site.,Network,VPN,Closed,Critical,Patricia,Cody,2025-09-21T14:57:22.352756
TCK-244ee1e6,Hardware issue - turn,Live ok language fall few item sort down director move Democrat.,Hardware,Monitor,In Progress,Medium,Nathaniel,Michelle,2025-10-02T14:57:22.352756
TCK-57601876,Email issue - physical,Same series himself occur mouth stuff free amount suggest once six ask.,Email,Outlook,Resolved,Medium,Jane,Steven,2025-10-01T14:57:22.352756
TCK-3a06ccc3,Access issue - institution,As ok one not huge war much no food move.,Access,Permissions,Closed,Medium,Joshua,Christine,2025-10-16T14:57:22.353247
TCK-194570fe,Network issue - choose,Meet condition edge sure early notice professional foot avoid knowledge political gas clear.,Network,WiFi,Closed,High,Justin,Patricia,2025-10-06T14:57:22.353247
TCK-e99335cd,Email issue - professional,Red model few represent will long against green.,Email,Outlook,Resolved,High,Victoria,Bethany,2025-10-10T14:57:22.353747
TCK-cfcfbad6,Software issue - newspaper,Case sister as over nature hand catch source same including maintain chair yes billion early nothing.,Software,Patch,Resolved,Critical,Jody,Molly,2025-09-28T14:57:22.353747
TCK-4cb32b03,Email issue - good,Wife ok meeting system American raise why before.,Email,Outlook,Closed,Medium,Teresa,Anna,2025-09-30T14:57:22.353747
TCK-744985cf,Network issue - happy,Team let general interest receive financial paper over series property against rather.,Network,Router,In Progress,Medium,David,Kimberly,2025-10-05T14:57:22.354247
TCK-a7717ad3,Software issue - see,Class moment special night people structure treatment future.,Software,Patch,Resolved,Low,Sara,Michael,2025-09-29T14:57:22.354247
TCK-def36486,Network issue - month,Imagine where work always respond perform miss kid analysis.,Network,LAN,In Progress,High,Rebekah,Holly,2025-09-25T14:57:22.354247
TCK-ff597b48,Network issue - discussion,Want series painting even per month for dark view sister election actually job dinner.,Network,LAN,In Progress,High,Jennifer,Erin,2025-10-02T14:57:22.354747
TCK-c8de956c,Software issue - research,Decade memory bit may close memory mind example structure season arrive late concern here.,Software,Patch,Closed,High,Christopher,Steve,2025-09-27T14:57:22.354747
TCK-1909eb28,Access issue - fall,American clear wife laugh entire project poor note like return.,Access,Account Lock,Closed,Critical,Jennifer,Kristi,2025-10-09T14:57:22.355250
TCK-0d063987,Software issue - mean,Contain tree middle attention miss during worker.,Software,Patch,Open,High,Brian,Michael,2025-10-13T14:57:22.355250
TCK-40d25364,Access issue - side,For including upon hear left tonight trip wait student paper.,Access,2FA,Closed,Critical,Frank,Michele,2025-09-19T14:57:22.355250
TCK-2bbb3355,Software issue - skill,Message still race strong bar early something.,Software,Application,Closed,Medium,Lauren,Jenna,2025-10-01T14:57:22.355747
TCK-1bf590eb,Hardware issue - somebody,Raise notice low major student mother ability rise watch shake city rather price purpose into hour.,Hardware,Keyboard,In Progress,Critical,Anthony,Brian,2025-09-19T14:57:22.355747
TCK-6e0a693c,Software issue - case,Despite campaign clearly up movement customer page inside cup need stuff name night agency.,Software,Update,Open,Critical,Sherri,David,2025-10-09T14:57:22.355747
TCK-bfbbb8c1,Network issue - rock,Cover public radio together east hot believe ten if meeting we question performance analysis system.,Network,Router,Closed,Medium,Alexis,Teresa,2025-10-05T14:57:22.356247
TCK-6206f74e,Network issue - yeah,Could step paper piece ago deep example might sense over serious.,Network,LAN,In Progress,Critical,Larry,Ashley,2025-09-21T14:57:22.356247
TCK-00bb2b38,Network issue - store,Bad huge rule woman mean anyone many.,Network,VPN,Closed,Critical,Gregory,Angela,2025-10-01T14:57:22.356247
TCK-ce450309,Access issue - life,Catch movie size professor share answer already.,Access,2FA,In Progress,Critical,Micheal,Jonathan,2025-10-16T14:57:22.356747
TCK-39e7630e,Software issue - list,Nature marriage billion letter paper leg picture simply once view third court fight war out artist.,Software,Patch,Closed,Medium,Alicia,Matthew,2025-09-23T14:57:22.356747
TCK-e99c1aa9,Email issue - four,Trouble institution hear third black how skin which.,Email,Spam,Resolved,High,Lisa,Terri,2025-09-22T14:57:22.357231
TCK-5d6ac59f,Email issue - mind,Help difference may daughter by show benefit speak look member whatever paper song move.,Email,Spam,In Progress,High,Lori,Daniel,2025-10-15T14:57:22.357231
TCK-5f5d116f,Network issue - even,Never according list success final in event likely.,Network,Router,Resolved,Medium,Barry,Vanessa,2025-10-15T14:57:22.357231
TCK-f28c61b7,Email issue - nation,Easy style bank message majority can movement agency why single nation college order local phone.,Email,Outlook,In Progress,Medium,Patrick,Steve,2025-09-19T14:57:22.357747
TCK-b02b326c,Access issue - through,Prevent medical interesting lose that activity character section nothing realize.,Access,Password,In Progress,Critical,Sherri,Mark,2025-09-22T14:57:22.357747
TCK-bebf465f,Hardware issue - party,Difference figure lot father method for within bar for sell maintain tax collection culture.,Hardware,Printer,Open,Critical,Rachel,Amanda,2025-09-20T14:57:22.357747
TCK-14459fa1,Email issue - attack,Matter already situation record Mrs police suffer accept follow nor way.,Email,Outlook,In Progress,High,Travis,April,2025-10-11T14:57:22.358247
TCK-a44f5e74,Access issue - without,Must interview store including election four church.,Access,Permissions,In Progress,High,Alicia,Cassandra,2025-09-22T14:57:22.358247
TCK-1b3d6a41,Access issue - will,Full theory audience increase sometimes among success.,Access,2FA,Closed,Low,Patty,Christopher,2025-10-17T14:57:22.358733
TCK-0c1cdcd0,Network issue - theory,Back food nothing notice statement contain professional politics three might trade growth government stuff.,Network,VPN,In Progress,Low,Patrick,Faith,2025-10-05T14:57:22.358733
TCK-0dcd2c5a,Email issue - budget,Perform know a first worker establish stand.,Email,Delivery,Open,Low,Joshua,Steven,2025-09-22T14:57:22.358733
TCK-dbbcb4f4,Access issue - instead,Sister quickly goal fly hair level ability surface look appear lawyer woman western attention own.,Access,Password,Closed,High,Maria,Samantha,2025-09-23T14:57:22.359247
TCK-932ac248,Software issue - man,May she against detail drop local character away season husband though.,Software,Update,Closed,Medium,Pam,Pamela,2025-10-06T14:57:22.359247
TCK-58c3b3ae,Access issue - police,Serve stage decision remain break concern reason program heart our.,Access,Permissions,Closed,Critical,Alexander,Jessica,2025-09-28T14:57:22.359247
TCK-f67b9e1e,Access issue - game,Responsibility fly food discover whom security popular never star focus kid defense police foreign.,Access,2FA,In Progress,Critical,Sarah,Debbie,2025-10-02T14:57:22.359748
TCK-c87835e6,Email issue - any,Clearly interest cover where possible example especially.,Email,Outlook,In Progress,Critical,Logan,Kathleen,2025-10-01T14:57:22.359748
TCK-1641855d,Email issue - explain,Sort now half dog TV blood chair buy culture team point.,Email,Delivery,Open,High,Andrew,Brooke,2025-09-30T14:57:22.360247
TCK-fe5e31e8,Hardware issue - go,Trial attention other mention should health now remember action son.,Hardware,Printer,Open,Low,Madison,Eric,2025-09-24T14:57:22.360247
TCK-f29abfe8,Network issue - news,Challenge life look sense indicate a raise various hour environmental wrong property your who culture.,Network,WiFi,Closed,Medium,William,Joshua,2025-09-26T14:57:22.360247
TCK-308d39b0,Access issue - part,Kind lay herself some evening officer ask when west war contain simple.,Access,Password,Closed,High,Loretta,John,2025-10-10T14:57:22.360750
TCK-e72d0b02,Network issue - your,Community however leader treat to radio data mission general Republican avoid eye.,Network,Router,Closed,Critical,Jill,Donna,2025-09-22T14:57:22.360750
TCK-2a449596,Access issue - already,Reach indicate happen peace relate several expert west medical lawyer land she cold environment.,Access,Account Lock,Resolved,Low,Austin,Michelle,2025-09-21T14:57:22.361247
TCK-9b89fb6c,Software issue - fish,Example series bill without story population western prevent move any.,Software,Update,Open,Low,Rebecca,Tim,2025-10-01T14:57:22.361247
TCK-2211736b,Software issue - hold,Company mind general action of institution hotel simple.,Software,Patch,Open,Critical,Brenda,Nathaniel,2025-09-27T14:57:22.361703
TCK-55f3c10c,Access issue - enjoy,Standard image which thank at herself recently show.,Access,Account Lock,Closed,Critical,Paul,Aaron,2025-10-17T14:57:22.361703
TCK-70487b15,Access issue - hair,Deal economic player head may affect pretty.,Access,Password,In Progress,Low,Brittany,Karen,2025-09-21T14:57:22.361703
TCK-e0f00577,Hardware issue - Congress,These realize bank common road each agency argue.,Hardware,Printer,Open,Medium,Gregory,Travis,2025-10-13T14:57:22.362203
TCK-557a18c3,Email issue - tend,Point art success use full public large sell.,Email,Quota,Resolved,Medium,Patrick,Daniel,2025-10-01T14:57:22.362203
TCK-ad51aa45,Software issue - fund,Hand speech save standard listen ahead budget operation.,Software,OS,Closed,Medium,Jill,Mary,2025-10-15T14:57:22.362203
TCK-34a1d816,Hardware issue - ago,Ground pattern scene piece real certain face write list skin leg throw.,Hardware,Laptop,Resolved,Medium,James,William,2025-09-30T14:57:22.362748
TCK-a1fffbbf,Network issue - skill,Foreign share cold accept before society blue certain machine our heart couple.,Network,LAN,Open,Critical,Mary,Michael,2025-10-15T14:57:22.362748
TCK-0d528374,Email issue - decision,Hour relationship science good item woman that specific current series own author seven.,Email,Outlook,Resolved,Low,Michael,Henry,2025-09-20T14:57:22.363242
TCK-7c7e429c,Access issue - which,Build necessary method large market manage firm away early key law important item Mrs attorney clearly.,Access,2FA,Resolved,Low,Lisa,Christine,2025-10-16T14:57:22.363242
TCK-d3fe71fe,Email issue - today,Hundred common put upon friend number available kind baby personal there pay city.,Email,Delivery,In Progress,Low,Ashley,Aaron,2025-10-02T14:57:22.363242
TCK-dccf7141,Hardware issue - cell,The seat throughout can seat PM education walk five tend writer step important provide anything.,Hardware,Keyboard,Closed,Low,Cynthia,Virginia,2025-10-17T14:57:22.363747
TCK-8fd7bd3d,Software issue - right,Condition maintain thus people their determine build again commercial local know get campaign season.,Software,OS,In Progress,Critical,Carlos,Michael,2025-09-19T14:57:22.363747
TCK-b5b7ff93,Network issue - enter,Rise argue forward us herself industry later.,Network,LAN,Resolved,Low,Carl,Timothy,2025-10-01T14:57:22.364248
TCK-ab806aad,Hardware issue - rather,Hope notice city writer scientist above arrive day bag score film student.,Hardware,Monitor,Resolved,Low,Stacy,Kimberly,2025-09-29T14:57:22.364248
TCK-dbcaa2df,Network issue - security,Find by single music there happy issue together professor future media.,Network,Router,In Progress,Critical,Monique,Tyler,2025-09-28T14:57:22.364248
TCK-b1376927,Network issue - concern,Provide bed sport reach whose defense property others red.,Network,VPN,Closed,Critical,Matthew,Jeffrey,2025-10-12T14:57:22.364747
TCK-be36ee08,Hardware issue - those,List top someone cause accept small note return activity.,Hardware,Printer,Resolved,Medium,Charles,Michael,2025-09-20T14:57:22.364747
TCK-eb902cd3,Email issue - full,Could manager Mrs sell take scene draw a here time suddenly character financial.,Email,Spam,Closed,Low,Jennifer,Nicholas,2025-09-23T14:57:22.365247
TCK-7af28548,Access issue - answer,Too painting me able lead drug early budget.,Access,Password,Resolved,Critical,Luke,Joan,2025-09-27T14:57:22.365247
TCK-2d518835,Hardware issue - reality,Ground among service should leg garden quality.,Hardware,Monitor,Open,Medium,Alejandro,Joseph,2025-09-22T14:57:22.365247
TCK-d7e1775c,Hardware issue - just,Before here amount artist official here traditional conference everybody case population same standard amount sing city.,Hardware,Keyboard,Open,Critical,Warren,Mark,2025-10-12T14:57:22.365705
TCK-da5d39d4,Hardware issue - serious,Loss miss blood deep so fire together enjoy end.,Hardware,Monitor,Resolved,Critical,Barbara,Mark,2025-09-23T14:57:22.365705
TCK-8471bdfa,Software issue - example,Ago behavior finish indicate benefit everything game no like enter political number standard.,Software,OS,Open,High,Carol,Rachel,2025-09-28T14:57:22.365705
TCK-b071a730,Software issue - two,Middle stay pressure challenge people through defense bag scientist week perform movie.,Software,Application,Open,High,Mary,Brittany,2025-10-14T14:57:22.366248
TCK-6520d8a0,Hardware issue - growth,Green however send court interview smile front film.,Hardware,Laptop,Closed,Low,Laurie,Donna,2025-09-29T14:57:22.366248
TCK-06379f84,Network issue - individual,Player learn day management under however why computer occur environment poor hope billion.,Network,WiFi,Open,Critical,John,Dana,2025-09-25T14:57:22.366747
TCK-0573f360,Access issue - support,Music school head provide artist possible tell.,Access,2FA,Closed,High,David,Alan,2025-10-09T14:57:22.366747
TCK-076bfc76,Access issue - side,Spring animal that book sure set right bill modern six.,Access,Permissions,Closed,Critical,Amanda,Jeffrey,2025-10-09T14:57:22.366747
TCK-b04502c0,Network issue - answer,Include food include until become ever around hope.,Network,LAN,Closed,Low,Glenda,David,2025-10-06T14:57:22.367247
TCK-6de8211a,Network issue - upon,Soldier attention look friend behavior today still production by figure as.,Network,LAN,Open,High,Karen,Michael,2025-10-09T14:57:22.367247
TCK-a9da5220,Hardware issue - shoulder,Often start could beat bit lot modern specific name leg city buy.,Hardware,Printer,Closed,Medium,Tara,Austin,2025-09-23T14:57:22.367703
TCK-0976d157,Hardware issue - weight,Suggest heart adult choose food successful bill everybody red character only style why.,Hardware,Printer,Resolved,High,Meredith,Brandon,2025-10-11T14:57:22.367703
TCK-d1c03df2,Access issue - two,Last money fund glass measure friend respond responsibility think part interest pass concern mind.,Access,2FA,In Progress,High,Carl,Jill,2025-09-23T14:57:22.368247
TCK-9e97ce4b,Email issue - physical,Learn energy enough similar avoid send respond economy maybe side traditional cut practice face so.,Email,Outlook,Open,Medium,Timothy,Donald,2025-10-03T14:57:22.368247
TCK-baf8a678,Software issue - beat,Pm green expect guess free item take standard believe government.,Software,Application,Resolved,Critical,Michael,Dylan,2025-10-10T14:57:22.368247
TCK-1fceda37,Access issue - boy,Thank save watch expert throw activity perhaps Democrat information reality reason.,Access,Account Lock,Resolved,Low,David,Shawn,2025-10-06T14:57:22.368751
TCK-6dbb0b64,Software issue - contain,Figure commercial let serious than care past.,Software,Update,In Progress,Low,Carrie,David,2025-09-29T14:57:22.368751
TCK-b3d73092,Network issue - may,Fund father trade phone have practice low wide feeling owner strong with statement lose player language.,Network,VPN,In Progress,Medium,David,Victoria,2025-09-21T14:57:22.368751
TCK-7a728063,Network issue - partner,Director apply goal break human loss pay.,Network,LAN,Open,High,Zachary,Brian,2025-09-28T14:57:22.369250
TCK-803d7c34,Network issue - involve,Shoulder sell natural move picture garden second bag.,Network,WiFi,Resolved,Critical,Megan,Robert,2025-10-10T14:57:22.369250
TCK-357046b4,Hardware issue - partner,However fire ok director Congress long action one bad parent college together.,Hardware,Laptop,In Progress,High,Robert,Michael,2025-10-12T14:57:22.369747
TCK-25e7ba80,Software issue - remain,Pm much above close situation throw sense but fall part realize level road.,Software,Application,Closed,Medium,Joshua,Troy,2025-09-25T14:57:22.369747
TCK-499c8857,Access issue - picture,Discuss able hold audience career present hard southern summer now.,Access,Password,Open,Critical,Dustin,Marcus,2025-09-21T14:57:22.369747
TCK-53c016e2,Software issue - executive,Machine near certain especially open nearly fish bad scientist speech pay.,Software,Application,In Progress,High,David,Timothy,2025-09-21T14:57:22.370247
TCK-17c0b7ba,Access issue - wife,See show start but success season able tough item story scientist item new practice stand.,Access,Permissions,In Progress,High,Gregory,Joanna,2025-09-24T14:57:22.370247
TCK-f587933d,Software issue - Republican,Statement range student food president significant group eat put guess employee around.,Software,Patch,Closed,Low,Richard,Heather,2025-10-14T14:57:22.370747
TCK-dc792536,Software issue - election,Family structure within true little study woman first official recent receive mouth way type glass behind.,Software,Patch,Closed,Low,Donna,Connie,2025-10-05T14:57:22.370747
TCK-63a71a1d,Hardware issue - make,Care future turn stuff reflect only foreign surface.,Hardware,Keyboard,Resolved,Medium,Mark,Jenny,2025-09-23T14:57:22.370747
TCK-65c36785,Access issue - million,Miss stock save first strong per project least must.,Access,Account Lock,Closed,Medium,Nicole,Jonathan,2025-09-29T14:57:22.371248
TCK-2d1a8a60,Access issue - project,History remain sport you animal fund expect son reach feeling hand describe.,Access,Permissions,Resolved,Critical,Daniel,Brittany,2025-10-15T14:57:22.371248
TCK-d19f226d,Hardware issue - view,Budget end mission foreign who instead high marriage while cause ground.,Hardware,Laptop,In Progress,Critical,Christopher,Jason,2025-10-17T14:57:22.371248
TCK-18757905,Email issue - likely,Easy threat deal foot never laugh shake include lay do power task.,Email,Delivery,In Progress,Low,Rebecca,William,2025-10-01T14:57:22.371747
TCK-f443ed5e,Software issue - camera,Pick gas seem already inside career service by rich until me admit.,Software,Application,Closed,Medium,Michelle,Victor,2025-09-25T14:57:22.371747
TCK-7de80388,Software issue - crime,Between decide walk also member third but economy full theory seem hold end attack such.,Software,Update,Closed,Medium,Elizabeth,Thomas,2025-09-28T14:57:22.372249
TCK-d22b9f9f,Access issue - party,Citizen tend hear weight interesting relationship page movie third.,Access,Account Lock,In Progress,Critical,Rebecca,Paul,2025-10-17T14:57:22.372249
TCK-d024f40f,Network issue - picture,Place rate yet friend collection day color he view vote modern throughout.,Network,LAN,Resolved,Medium,Kristen,Vanessa,2025-10-06T14:57:22.372249
TCK-6a67a03d,Hardware issue - air,Sport room room agree enjoy sit treat future stay price deal.,Hardware,Laptop,In Progress,Medium,Jasmine,Garrett,2025-09-21T14:57:22.372704
TCK-4ae611aa,Network issue - size,Ball enough house fall several think however few Mrs moment debate collection compare pretty.,Network,WiFi,Resolved,High,Andrea,Frank,2025-10-09T14:57:22.372704
TCK-692d91e1,Software issue - quickly,Expert notice hundred shake total indeed participant later music notice can produce leg.,Software,Update,In Progress,Medium,Sean,Carl,2025-10-10T14:57:22.372704
TCK-4dac2878,Hardware issue - partner,Challenge whom officer writer bed leave wall down future.,Hardware,Laptop,Resolved,Medium,Nichole,Katie,2025-10-12T14:57:22.373247
TCK-2477126e,Access issue - couple,Mind somebody sense life since possible political build community.,Access,Permissions,Closed,Medium,Robert,Mitchell,2025-09-26T14:57:22.373247
TCK-49f98521,Email issue - early,Full indeed wrong conference always tree do kid federal high arm.,Email,Delivery,Closed,Medium,Douglas,Scott,2025-10-01T14:57:22.373747
TCK-e87c783c,Software issue - near,Develop southern life both them million remain authority have understand deal debate.,Software,Patch,Closed,High,Kenneth,Erin,2025-10-17T14:57:22.373747
TCK-4cff447f,Software issue - right,Rate less debate religious speak magazine heart president site front role plant.,Software,OS,In Progress,High,Lindsay,Heather,2025-10-01T14:57:22.373747
TCK-e6abe81e,Network issue - either,Great health need within wrong analysis end list begin reality sort simply write identify center affect.,Network,WiFi,Closed,High,Jenny,Steven,2025-10-12T14:57:22.374247
TCK-8abb1218,Access issue - lawyer,Nation want college his later half seat edge but military drug growth game account.,Access,2FA,Closed,Critical,Lorraine,Robert,2025-09-24T14:57:22.374247
TCK-437816f2,Access issue - blue,Investment store job market matter her program half son walk section expert believe one evening.,Access,Password,In Progress,Critical,Joel,Charles,2025-09-18T14:57:22.374749
TCK-00f1ff53,Hardware issue - between,Role deal voice cold single half indicate space knowledge me.,Hardware,Monitor,Closed,Critical,Kimberly,Valerie,2025-09-26T14:57:22.374749
TCK-5b52d6a5,Email issue - station,Factor knowledge likely during media ten phone say.,Email,Delivery,In Progress,High,Joseph,Jason,2025-10-01T14:57:22.374749
TCK-25035f05,Software issue - wall,After prove campaign sell another interest none have lay let show performance foot step hour.,Software,Update,Open,Low,Ian,Mario,2025-10-07T14:57:22.375247
TCK-afd5ebcb,Email issue - choose,Government foreign sometimes from identify commercial understand what surface American third tell material head.,Email,Spam,Open,High,Benjamin,Amanda,2025-10-13T14:57:22.375247
TCK-16af878b,Access issue - stock,Husband garden site town goal more because point page effect great recent.,Access,2FA,Closed,Low,Cathy,Michael,2025-10-13T14:57:22.375748
TCK-cd1758b6,Software issue - central,Take lot write station tough Democrat around minute actually serve drop program order instead.,Software,Application,Closed,Low,Terrance,Scott,2025-09-19T14:57:22.375748
TCK-d88d06b4,Access issue - structure,Talk life entire plant born such author stand will.,Access,Password,Resolved,High,Robin,Steven,2025-09-28T14:57:22.375748
TCK-e46f5c5a,Hardware issue - green,Trial between now memory report off report character trade day case bank laugh industry only thing.,Hardware,Printer,Open,High,Lawrence,Michelle,2025-09-17T14:57:22.376247
