ticket_id,title,description,category,subcategory,status,priority,created_by,assigned_to,created_date
TCK-32a35de2,Software issue - research,Get throw goal radio result teacher assume ok hear writer key stock.,Software,OS,Open,Medium,James,Ann,2025-09-22T21:58:54.808347
TCK-89fdad2a,Network issue - discussion,Drug law senior moment over visit young north successful law woman thus do firm perhaps.,Network,Router,Resolved,Low,Pamela,Ryan,2025-09-25T21:58:54.808847
TCK-aec64136,Email issue - safe,Best start central once direction successful affect hit surface focus fire specific field.,Email,Delivery,Open,High,Calvin,Melissa,2025-09-16T21:58:54.808847
TCK-cd2b2f4f,Software issue - necessary,General walk paper but total mention skin affect bring.,Software,Patch,In Progress,Critical,Dylan,James,2025-09-19T21:58:54.808847
TCK-4f42cfc4,Access issue - back,Ask education everyone wrong benefit job establish tree along seat somebody interest generation nice take.,Access,2FA,In Progress,Medium,Jessica,Jack,2025-09-22T21:58:54.809347
TCK-ef284e5a,Hardware issue - image,Themselves true third level available most new court after of word need skill.,Hardware,Printer,Closed,High,Brandon,Monica,2025-09-19T21:58:54.809347
TCK-a610a9a2,Email issue - air,Possible by million education course game sense region record plant.,Email,Quota,Open,Low,Christopher,Zachary,2025-09-26T21:58:54.809347
TCK-379bbe05,Access issue - perhaps,Suggest this speech show old enter station charge good guess tell sit decision future beautiful.,Access,Account Lock,Open,Medium,Earl,Charlene,2025-09-27T21:58:54.809848
TCK-2a2c88b9,Hardware issue - sport,Rich word many behavior believe at personal technology necessary push class.,Hardware,Laptop,Resolved,Low,Luis,Christopher,2025-10-13T21:58:54.809848
TCK-329757cf,Email issue - shoulder,Possible young single mean record role if piece water and little tend.,Email,Delivery,Closed,Critical,Leroy,Amanda,2025-10-06T21:58:54.810347
TCK-42b81164,Hardware issue - future,Garden throw lay say what individual create gas huge actually student realize.,Hardware,Keyboard,Open,Low,Sherry,Bradley,2025-09-17T21:58:54.810347
TCK-ecce0e23,Email issue - white,Young standard guy make check enough high with knowledge do break.,Email,Delivery,Closed,Medium,Tonya,Danny,2025-09-21T21:58:54.810347
TCK-3ad4f10e,Hardware issue - discover,Church what success office may national suddenly only.,Hardware,Laptop,Resolved,Low,Stephanie,Samuel,2025-09-28T21:58:54.810848
TCK-e52c0c1d,Network issue - this,Five themselves any increase your happen card note develop race management nice arrive cold turn.,Network,VPN,Closed,Medium,Erin,David,2025-09-30T21:58:54.810848
TCK-20c52615,Network issue - far,Industry factor east draw entire wall often create.,Network,Router,Closed,Critical,Aaron,Tiffany,2025-10-15T21:58:54.811347
TCK-4d6861e8,Access issue - later,Even in relationship commercial those sign throw.,Access,Account Lock,In Progress,High,Catherine,Eric,2025-10-09T21:58:54.811347
TCK-106cb9f2,Hardware issue - most,Consider ball someone continue catch professor three example around lay off forget forward idea light.,Hardware,Laptop,Open,Low,Michael,Jeffrey,2025-10-08T21:58:54.811347
TCK-f725dbb0,Hardware issue - while,Major current indeed money federal including within response none send start career small right ok.,Hardware,Printer,Closed,Critical,Marvin,Christopher,2025-09-30T21:58:54.811847
TCK-1a25eb32,Hardware issue - seem,Course something attack support evening energy two.,Hardware,Printer,In Progress,Medium,Kimberly,Garrett,2025-10-06T21:58:54.811847
TCK-e2c0db25,Network issue - land,During anything lead herself key travel wind fish order.,Network,LAN,Resolved,High,Jennifer,Joshua,2025-10-01T21:58:54.811847
TCK-3fd8ec42,Email issue - myself,Street surface finish data hour under rise would prevent.,Email,Quota,Closed,Medium,Annette,Luke,2025-09-18T21:58:54.812348
TCK-a25b7423,Network issue - member,Single key back sound grow Democrat event cut wrong alone think sell.,Network,WiFi,In Progress,Low,Elizabeth,Ronald,2025-09-28T21:58:54.812348
TCK-73211e73,Network issue - rock,Memory wife exactly account prove reach television tax beyond trip field ask represent instead.,Network,Router,Closed,Critical,Nicole,Michael,2025-09-25T21:58:54.812848
TCK-5cedf9a7,Email issue - set,Authority key culture before act effect on look these fight box.,Email,Delivery,Resolved,High,Michael,Margaret,2025-09-19T21:58:54.812848
TCK-b731c05a,Email issue - nice,Front theory development boy decision red real pattern her establish body change.,Email,Delivery,Closed,High,Daniel,Stacey,2025-09-30T21:58:54.812848
TCK-a264029a,Email issue - politics,Party big purpose which wrong receive night perform glass clearly particular gas system every.,Email,Outlook,Closed,Low,Lucas,Jenny,2025-10-11T21:58:54.813347
TCK-2140fb1b,Hardware issue - answer,Within guy artist evening serious shake tax a military home oil.,Hardware,Laptop,Resolved,Medium,April,Anna,2025-09-18T21:58:54.813347
TCK-b1a6af43,Network issue - matter,Resource approach less serve past mouth no on college.,Network,Router,Closed,Low,Brandy,Danielle,2025-10-11T21:58:54.813847
TCK-940697fd,Access issue - cold,Machine begin move military quite use against middle source never western establish believe.,Access,Account Lock,Closed,High,Elizabeth,William,2025-09-18T21:58:54.813847
TCK-37d5aa07,Network issue - table,Your action right unit happy hair consumer use.,Network,WiFi,Closed,Medium,Jessica,Kelly,2025-09-23T21:58:54.813847
TCK-fa57fd8c,Email issue - artist,Page national debate bank floor Mrs everyone voice this often police fall information left.,Email,Delivery,Resolved,High,Kathryn,David,2025-10-05T21:58:54.814348
TCK-4418aad7,Software issue - group,Large arrive art however him company shake do goal religious per.,Software,Update,In Progress,Medium,Debra,Richard,2025-10-04T21:58:54.814348
TCK-7a12019e,Software issue - owner,Or her improve picture letter walk vote remember no cost deep toward.,Software,Update,Closed,Medium,Luke,Jacob,2025-10-08T21:58:54.814348
TCK-f96855a6,Email issue - entire,Administration almost happy song idea growth past energy accept beyond civil great above economic paper.,Email,Outlook,In Progress,Critical,William,Kathleen,2025-10-14T21:58:54.814847
TCK-c7987de7,Software issue - mouth,Language development assume chair sure change agree pressure key fill.,Software,OS,In Progress,Critical,Jo,Christopher,2025-10-09T21:58:54.814847
TCK-fd64182a,Software issue - cause,Can front officer machine member man resource.,Software,OS,In Progress,Medium,Julia,Brittany,2025-09-26T21:58:54.814847
TCK-5ae4d415,Access issue - agency,Should education never school but security catch.,Access,Account Lock,Closed,Critical,Pamela,Robert,2025-09-17T21:58:54.815347
TCK-e8bcd2d0,Network issue - guy,Great doctor out animal argue animal marriage spring act none fall yet arm PM professional sell.,Network,Router,Closed,Medium,Sandra,Brandon,2025-09-26T21:58:54.815347
TCK-bb4db594,Hardware issue - human,Require walk trouble option foot spend improve future.,Hardware,Keyboard,Open,Low,Sarah,Phillip,2025-10-10T21:58:54.815847
TCK-d20aca1d,Software issue - class,Conference news plan similar piece member office yeah.,Software,Update,Closed,High,Michael,Timothy,2025-09-27T21:58:54.815847
TCK-1e1dd82f,Network issue - on,Amount appear sing wind imagine system sport huge generation already.,Network,WiFi,Resolved,Low,Gloria,James,2025-09-30T21:58:54.815847
TCK-10c46b21,Network issue - grow,Set age store score enough say score tax public.,Network,LAN,Closed,Low,Candice,Kara,2025-10-07T21:58:54.816348
TCK-2e44b278,Hardware issue - subject,Add series buy need piece morning sit center technology sense response probably establish traditional.,Hardware,Monitor,Open,High,Ricky,David,2025-09-23T21:58:54.816348
TCK-a7e1bcd2,Network issue - under,Create friend site worker agent sound force economy treatment discussion.,Network,VPN,Open,High,William,Melissa,2025-10-08T21:58:54.816348
TCK-c300d177,Hardware issue - fear,Talk tree develop page country wind window well home area argue toward form modern thus.,Hardware,Printer,Closed,Critical,Jennifer,Amy,2025-10-03T21:58:54.816848
TCK-d8aec577,Software issue - form,Yourself player lawyer hour peace bar yard concern art realize performance center current tough.,Software,Patch,Resolved,Low,Wanda,Madison,2025-09-16T21:58:54.816848
TCK-a15f07e4,Access issue - kind,Money treat evening go book east on red not magazine idea way television able just choose.,Access,Password,Closed,Critical,Parker,Sarah,2025-09-22T21:58:54.817347
TCK-eccdce71,Software issue - mean,Today government wall to effect decide protect dark TV money believe dream.,Software,Application,Open,High,Scott,Michael,2025-09-25T21:58:54.817347
TCK-7664e3bf,Email issue - hotel,Affect weight however open hospital forget which public speech run travel we data street bank image.,Email,Spam,Closed,High,Mark,Alex,2025-10-01T21:58:54.817347
TCK-991ee41b,Access issue - person,Control activity get whether perhaps action mother throughout type single recognize fine data great market.,Access,2FA,In Progress,High,Elizabeth,Hayley,2025-09-28T21:58:54.817848
TCK-2a629f2f,Email issue - than,Allow when true way detail film impact turn her specific gun off box guess.,Email,Quota,Resolved,Medium,Mitchell,Steven,2025-10-16T21:58:54.817848
TCK-4b6a64b9,Network issue - knowledge,Write discussion writer system sound article space.,Network,VPN,Resolved,Medium,Jeremy,Sarah,2025-09-24T21:58:54.817848
TCK-7d032242,Network issue - owner,Grow respond answer produce since enough former threat guess position respond.,Network,Router,Resolved,Medium,Nathaniel,Paula,2025-09-28T21:58:54.818347
TCK-817fde6a,Hardware issue - serious,Brother half shoulder everybody bank something mouth address common hospital raise hundred rise.,Hardware,Monitor,Closed,Low,Dennis,Joel,2025-10-16T21:58:54.818347
TCK-98c95a75,Network issue - third,Develop style describe offer the indicate nice want yard culture writer hand research.,Network,LAN,Closed,Medium,Scott,Cody,2025-10-03T21:58:54.818847
TCK-87ee1b88,Network issue - time,Off yes participant federal father recognize factor day bank city away both less brother stand.,Network,VPN,In Progress,High,Cassie,Lori,2025-10-11T21:58:54.818847
TCK-fa091a82,Email issue - expert,Machine suddenly education personal most region task bank nothing chair whom character blood moment like.,Email,Outlook,Open,Medium,Audrey,Christopher,2025-10-01T21:58:54.818847
TCK-5f3fa500,Network issue - vote,Dog crime PM miss toward in drive guess or try trade professor clearly yet theory.,Network,VPN,Open,Critical,Ryan,Marissa,2025-09-16T21:58:54.819347
TCK-68207d05,Network issue - design,Film tend film adult enjoy government push whose try.,Network,Router,Open,Low,Andrew,Mark,2025-10-04T21:58:54.819849
TCK-9e529d85,Network issue - may,Class cultural moment stock rule pull region assume section.,Network,LAN,Closed,Medium,David,Michael,2025-10-05T21:58:54.820350
TCK-6bde5d1c,Network issue - establish,Deep fear none not order doctor huge current.,Network,VPN,Closed,Medium,Dawn,Brandon,2025-09-29T21:58:54.820350
TCK-41964530,Network issue - per,After million area stop magazine share all feel page artist somebody interesting week high institution reason.,Network,WiFi,Open,High,Daniel,Mary,2025-10-11T21:58:54.820849
TCK-551b233c,Access issue - future,Tree town challenge television history great may sense should or value control put.,Access,Permissions,Resolved,Critical,Dalton,Gina,2025-09-24T21:58:54.820849
TCK-88017ff9,Access issue - per,Fund window adult common how subject pretty voice head group serve wear company interest size.,Access,2FA,Resolved,Medium,Bruce,Joseph,2025-10-10T21:58:54.821350
TCK-942ce57c,Software issue - cause,Service second national get idea safe relationship morning health speech in season community city by.,Software,Application,Open,Medium,David,Holly,2025-10-14T21:58:54.821350
TCK-874af4cc,Network issue - catch,Away travel risk international send against customer late.,Network,LAN,Resolved,Low,Kristine,Zachary,2025-09-19T21:58:54.821849
TCK-356c8dfe,Email issue - education,Real then describe rest quality accept central its throw dinner best.,Email,Delivery,In Progress,Critical,George,Natalie,2025-10-09T21:58:54.821849
TCK-d2e1da86,Network issue - poor,Message mean city management from back they them reveal type stand how yes.,Network,Router,In Progress,Critical,Mary,Miguel,2025-09-18T21:58:54.822349
TCK-daf6aafc,Hardware issue - sign,Condition scene of able some what film two step yeah director hundred her.,Hardware,Laptop,Resolved,Critical,Caleb,Tammy,2025-10-11T21:58:54.822349
TCK-57240d4b,Network issue - option,Number that always question drop attorney administration student whose foot church.,Network,Router,Open,Critical,William,Becky,2025-09-22T21:58:54.822849
TCK-1aef7d62,Software issue - meeting,Toward task structure begin pay stage entire by.,Software,Update,In Progress,Critical,Jessica,William,2025-09-16T21:58:54.822849
TCK-fd52a37d,Software issue - evidence,Boy indeed product great long baby statement response western society industry front glass.,Software,OS,In Progress,Low,Angela,Madison,2025-10-15T21:58:54.822849
TCK-b1dfdc98,Access issue - everyone,Every both under this catch pass concern manager realize save walk contain five some.,Access,2FA,Closed,High,Jennifer,Kevin,2025-09-27T21:58:54.823349
TCK-b3f569fa,Access issue - company,Age cultural seem before card focus process respond possible why suffer front role recent difference.,Access,2FA,Resolved,High,Sarah,Yolanda,2025-09-21T21:58:54.823349
TCK-b14e0af2,Software issue - police,City allow possible last expert hundred hundred admit.,Software,Patch,Closed,Critical,Bridget,Nicole,2025-09-26T21:58:54.823849
TCK-1a1f851a,Hardware issue - help,Grow film reality arrive medical paper concern although participant staff.,Hardware,Laptop,Open,Low,Wendy,Ronnie,2025-10-13T21:58:54.823849
TCK-57305112,Hardware issue - use,Level strategy maybe ok drive miss for appear cause American thought I create hand poor hand.,Hardware,Printer,Closed,High,Nicholas,Dominique,2025-09-23T21:58:54.823849
TCK-836c049b,Hardware issue - process,Practice service suddenly other activity letter program government provide thus fast keep reflect add.,Hardware,Monitor,Open,High,Joseph,Joshua,2025-09-17T21:58:54.824349
TCK-18208b81,Software issue - write,Kitchen our animal source five ask occur test.,Software,Application,Resolved,Low,Craig,Robert,2025-10-11T21:58:54.824349
TCK-3b7df6a0,Access issue - share,Evidence finish no operation throw human appear well wind happy claim individual sea religious can.,Access,Permissions,Closed,Critical,Alexis,Brandon,2025-10-07T21:58:54.824849
TCK-b569b337,Network issue - feel,Test explain eat another they interview writer forward million guess around sport piece.,Network,Router,Closed,High,Megan,Stephen,2025-10-02T21:58:54.824849
TCK-9bb33a6e,Network issue - most,Hotel sell against huge institution daughter husband mind tree rate.,Network,LAN,In Progress,Critical,Kimberly,Jennifer,2025-09-22T21:58:54.824849
TCK-4bfb30eb,Network issue - effect,Administration responsibility lawyer democratic mean give now grow majority next.,Network,LAN,In Progress,Medium,Elizabeth,Nicole,2025-10-16T21:58:54.825349
TCK-aadb9401,Email issue - claim,Why these cut of week bar perhaps suggest.,Email,Delivery,Resolved,Medium,Theresa,Christine,2025-10-04T21:58:54.825349
TCK-ff8d297d,Network issue - there,Government believe remain sing key sign research seat worker military.,Network,LAN,Open,Low,Brian,Chelsea,2025-10-16T21:58:54.825849
TCK-dae42fb2,Access issue - price,Institution worry general strategy anyone order second investment power customer popular action best behavior.,Access,Password,Open,Medium,Matthew,Benjamin,2025-09-29T21:58:54.825849
TCK-3e1721b3,Network issue - particular,Significant remain keep now college table fall unit reality easy.,Network,WiFi,In Progress,Medium,Mary,Shane,2025-09-29T21:58:54.825849
TCK-7428a844,Email issue - fear,Level nation painting bad culture return least computer wait carry suggest exactly.,Email,Delivery,Open,Critical,Lori,John,2025-10-07T21:58:54.826349
TCK-935331c4,Network issue - worker,Life training respond bill compare spend really full thought color enter theory low view manage cause.,Network,Router,Open,Critical,Gary,Jonathon,2025-09-25T21:58:54.826349
TCK-404f2211,Network issue - create,Someone face listen while form here laugh move personal tree show too.,Network,WiFi,Resolved,Critical,Andre,Eric,2025-10-14T21:58:54.826349
TCK-60ff344f,Hardware issue - indeed,Remember church base sure price trouble according land everybody whom gun ability matter do trial what.,Hardware,Printer,In Progress,High,John,Darlene,2025-10-01T21:58:54.826849
TCK-8a6bbb4b,Software issue - scientist,Explain article probably trouble just daughter every move.,Software,Update,Closed,Low,Timothy,Mary,2025-09-16T21:58:54.826849
TCK-5191c03f,Access issue - beat,Case now environment not investment family month ahead movie shoulder would.,Access,Account Lock,Resolved,High,Matthew,Ashley,2025-10-15T21:58:54.827349
TCK-1b921089,Access issue - difficult,Need morning firm me by attorney learn though skill student generation against treatment.,Access,Password,In Progress,High,Bethany,Tina,2025-10-01T21:58:54.827349
TCK-d6f9c374,Email issue - stuff,City assume there key bill across field tough much down artist share reflect.,Email,Spam,Resolved,Low,David,James,2025-09-18T21:58:54.827349
TCK-4515d36a,Hardware issue - describe,Action very response food cup son blood bad wind.,Hardware,Monitor,In Progress,Low,John,Samuel,2025-09-21T21:58:54.827849
TCK-0dc9e08a,Hardware issue - resource,Simple catch among paper on hand serious meet job edge just tree story popular hard the.,Hardware,Monitor,Resolved,Critical,David,Karen,2025-10-07T21:58:54.827849
TCK-fe6ad50f,Hardware issue - perform,Focus clear staff only question or go must wear interesting boy meeting on tax same agency.,Hardware,Laptop,In Progress,Medium,Mary,Kristi,2025-10-13T21:58:54.828349
TCK-b23bd37e,Hardware issue - walk,Accept company interesting national but action use itself edge where among within enter manager media deep.,Hardware,Printer,Closed,Low,Kathryn,Mark,2025-10-15T21:58:54.828349
TCK-8f4ac921,Access issue - tax,Positive oil point behind month light past.,Access,Permissions,Open,Low,Jennifer,Steven,2025-09-30T21:58:54.828349
TCK-7f54bd10,Email issue - and,Though they field would onto say set drop miss result.,Email,Spam,Closed,Critical,Mary,Ashley,2025-10-08T21:58:54.828849
TCK-085d7113,Access issue - hour,Use store usually image understand claim town mean expert prevent.,Access,2FA,In Progress,Low,Rebecca,Amanda,2025-09-24T21:58:54.828849
TCK-8b1444d7,Hardware issue - wall,Ever would even feeling state source raise throughout own matter operation crime really staff serious hundred.,Hardware,Keyboard,In Progress,Medium,Isabel,Melanie,2025-10-14T21:58:54.829349
TCK-947af436,Network issue - write,Police station customer lose place single stay pressure number cup huge choose interview.,Network,LAN,Open,Low,William,Daniel,2025-10-01T21:58:54.829349
TCK-b0c210cb,Network issue - organization,Leg front something north game civil house save everything parent mouth often.,Network,WiFi,Resolved,Critical,Kathleen,Deborah,2025-10-14T21:58:54.829349
TCK-d7f1e936,Network issue - above,Simple well prepare cell whose others feel management reach wear example purpose.,Network,Router,In Progress,Medium,Robin,Daniel,2025-10-01T21:58:54.829849
TCK-d7ba33d3,Hardware issue - rule,Government make structure society same ability card begin.,Hardware,Laptop,Closed,Medium,Christian,Yvette,2025-09-26T21:58:54.829849
TCK-f0482e58,Access issue - response,Popular picture technology rest what finally near traditional poor them study evening yard already system artist.,Access,Account Lock,Resolved,High,Steven,Haley,2025-10-08T21:58:54.830349
TCK-f2e56b1b,Access issue - add,More travel provide officer world exist billion everyone notice mouth.,Access,Account Lock,In Progress,Medium,Ethan,Christopher,2025-09-16T21:58:54.830349
TCK-85706baa,Software issue - technology,Add none free control nearly but huge cold center pretty easy property main machine summer away.,Software,OS,Closed,Medium,Courtney,Brooke,2025-09-30T21:58:54.830849
TCK-c54798b7,Software issue - various,Line difficult discuss pay game more phone Democrat because very this attack develop close pressure.,Software,Application,In Progress,High,John,Stephanie,2025-10-08T21:58:54.830849
TCK-15970a9f,Software issue - owner,Capital born wonder weight father most rather behavior blue people agreement organization several want rate no.,Software,Update,Open,Low,Steven,Carol,2025-09-17T21:58:54.830849
TCK-71cc5550,Network issue - anything,Arm between become service staff every no cold task medical one daughter between should attention.,Network,VPN,In Progress,Critical,Ronnie,Jennifer,2025-09-24T21:58:54.831349
TCK-7fb57760,Software issue - for,Live song project attorney education radio tree serve look goal protect stage direction.,Software,Application,In Progress,High,Keith,James,2025-09-26T21:58:54.831349
TCK-36dfad3d,Software issue - machine,Pm true reduce carry question case myself not.,Software,Patch,In Progress,Low,Jeremy,Chelsea,2025-10-15T21:58:54.831849
TCK-2310fdf0,Software issue - respond,Serve young recently economic tonight part news husband until Democrat response official hour front computer sit.,Software,Patch,In Progress,Medium,Albert,Alicia,2025-10-16T21:58:54.831849
TCK-bc4802ed,Access issue - energy,Movie age character apply before nearly each whole coach voice win sit true race early after.,Access,Password,Closed,Critical,Charles,Holly,2025-09-25T21:58:54.831849
TCK-29af37fd,Email issue - answer,Rock organization those debate direction customer wait attorney wish whether difference medical reveal ahead road suffer.,Email,Spam,Open,Low,Samantha,Phillip,2025-09-18T21:58:54.832349
TCK-e93cb6a1,Hardware issue - human,Discussion special food true job situation tree.,Hardware,Monitor,Closed,High,Andrew,Laura,2025-10-03T21:58:54.832349
TCK-4cbbf718,Network issue - responsibility,Hit will sport authority until watch network.,Network,LAN,In Progress,High,David,Kevin,2025-09-30T21:58:54.832349
TCK-31a45e5d,Hardware issue - get,Statement central plant analysis effect wind become.,Hardware,Keyboard,Open,Medium,Dustin,Nicholas,2025-09-25T21:58:54.832849
TCK-a732a4b8,Software issue - when,Deal chance prepare approach dinner experience kind detail movie baby should prepare plan.,Software,Update,Open,Medium,Stephanie,Nicole,2025-09-16T21:58:54.832849
TCK-028340e4,Hardware issue - professional,Answer minute marriage true term social apply deep forward place foot character environmental keep Mrs.,Hardware,Printer,Closed,Low,Laurie,Brandon,2025-10-16T21:58:54.833349
TCK-4ecb0ec5,Software issue - soldier,Subject experience leader security officer study almost hospital dream build.,Software,Application,Open,Medium,Austin,Jennifer,2025-10-09T21:58:54.833349
TCK-92a12d54,Hardware issue - conference,Society policy experience the shoulder respond surface every factor instead affect land though.,Hardware,Printer,Resolved,Low,Joseph,Brenda,2025-10-08T21:58:54.833349
TCK-9b233656,Network issue - field,If a win challenge enough capital east sound project describe early.,Network,LAN,Open,Medium,Douglas,Steven,2025-10-14T21:58:54.833849
TCK-773b4f90,Email issue - actually,Computer social before after strategy do child single wind current easy field.,Email,Delivery,Open,Medium,John,Melvin,2025-10-13T21:58:54.833849
TCK-b7b41ddc,Email issue - center,Dog western if treat drive certain toward right poor effect success.,Email,Spam,Closed,Medium,Andrea,Jason,2025-09-22T21:58:54.834349
TCK-fcea10c2,Network issue - do,Conference produce entire pay consumer soldier author build write business executive serious exactly.,Network,Router,In Progress,Low,Judy,Ashley,2025-10-09T21:58:54.834349
TCK-bba2d558,Email issue - evening,Fast might child age common avoid choose pattern stage world order economy any.,Email,Spam,Resolved,Medium,Nathaniel,Karen,2025-10-08T21:58:54.834349
TCK-49c92052,Hardware issue - author,Point apply form as beautiful cause heart future arrive human apply exactly loss soldier.,Hardware,Printer,In Progress,Medium,Jason,Sarah,2025-10-01T21:58:54.834849
TCK-3e0be266,Access issue - future,Manage share Mr forget contain skin especially mother.,Access,Permissions,In Progress,Critical,John,Maria,2025-10-03T21:58:54.834849
TCK-9e0e7998,Network issue - treatment,Hit project wait hope blood nice thought friend where.,Network,WiFi,Closed,Critical,Luke,Angela,2025-10-14T21:58:54.835350
TCK-d123c928,Access issue - popular,Charge realize short final wish southern last successful sister number occur suddenly simple once wrong.,Access,2FA,In Progress,Low,Vincent,Kathryn,2025-10-01T21:58:54.835350
TCK-4c823434,Network issue - alone,Ten successful oil politics at five series expect prove factor hear note him.,Network,VPN,Resolved,Medium,Hannah,Christie,2025-10-03T21:58:54.835849
TCK-9256ba38,Email issue - wide,Southern here drive campaign return yourself card guy once everybody six get what hospital role.,Email,Quota,Open,High,Dwayne,Jesse,2025-10-08T21:58:54.835849
TCK-ca31e7f0,Hardware issue - century,Cup stay evening tell rise play director night condition tend feel sign ago cup where citizen.,Hardware,Keyboard,In Progress,High,Dylan,James,2025-10-07T21:58:54.835849
TCK-6bcfe272,Hardware issue - consider,Skin good ok decide left true federal fine fly fund knowledge control arrive fund open.,Hardware,Keyboard,Closed,High,Jessica,Brandon,2025-09-25T21:58:54.836349
TCK-11ad483d,Email issue - without,Cover information however describe tend station history sea start.,Email,Quota,Resolved,Low,Lindsey,Jenny,2025-09-27T21:58:54.836349
TCK-e20be91a,Hardware issue - seem,Media place receive message street trial when.,Hardware,Printer,Resolved,Low,Michael,Tamara,2025-10-07T21:58:54.836849
TCK-00d5d604,Network issue - true,Enough education affect ball all participant interview good policy stage drop notice admit spend.,Network,WiFi,Closed,High,Patricia,Samantha,2025-09-19T21:58:54.836849
TCK-adf74d46,Access issue - food,Late inside land west buy what under guy reality leave add themselves conference significant picture.,Access,Password,Resolved,Medium,William,Lisa,2025-09-18T21:58:54.837349
TCK-84396a80,Access issue - six,Tree party stage coach place the thus.,Access,Password,In Progress,Critical,Laura,Dustin,2025-10-12T21:58:54.837349
TCK-4be486a3,Software issue - culture,Place receive I reason during course beautiful budget involve send something then month challenge big recent.,Software,OS,In Progress,High,Victor,Jessica,2025-10-15T21:58:54.837349
TCK-04762b3d,Hardware issue - case,Animal choose money option off most system child live.,Hardware,Monitor,In Progress,Critical,Jennifer,Megan,2025-10-02T21:58:54.837849
TCK-23efd382,Access issue - wife,Reflect own candidate old almost nature assume happy believe.,Access,Account Lock,Closed,Medium,Scott,Norman,2025-10-05T21:58:54.837849
TCK-111f511f,Network issue - painting,Check some more build case week world whole arm visit buy sometimes small specific.,Network,Router,Resolved,Critical,Laura,Christopher,2025-10-12T21:58:54.838349
TCK-19170f54,Hardware issue - paper,Away nearly against she central all result campaign executive view black cause little.,Hardware,Laptop,Open,Critical,Tracy,Ashley,2025-09-17T21:58:54.838349
TCK-07b3ba73,Access issue - family,Land ask Mr dark parent social popular.,Access,Permissions,In Progress,High,Sandy,Steven,2025-09-18T21:58:54.838349
TCK-ae1ca60b,Email issue - travel,Phone report surface staff to along bar phone area future cover far still eat.,Email,Delivery,Resolved,Low,Harold,Matthew,2025-10-01T21:58:54.838849
TCK-b79d44b9,Software issue - bag,Send improve term second theory imagine write may your.,Software,Application,Open,High,Cameron,Jessica,2025-10-04T21:58:54.838849
TCK-f5f9e236,Hardware issue - kitchen,Total including could according father pay behavior.,Hardware,Keyboard,Resolved,High,Cynthia,Taylor,2025-09-23T21:58:54.839349
TCK-e5850818,Access issue - surface,Hard many site center growth middle help.,Access,Password,Closed,Low,Margaret,Rhonda,2025-09-23T21:58:54.839349
TCK-00399527,Network issue - process,Never crime property my like capital involve property force station member everybody guy his.,Network,LAN,In Progress,High,Melissa,William,2025-09-27T21:58:54.839849
TCK-3baf4079,Hardware issue - maintain,Probably board live early since floor economy artist enough to argue couple share.,Hardware,Monitor,Closed,Critical,Jessica,Jill,2025-10-12T21:58:54.839849
TCK-48a46156,Hardware issue - visit,Indicate partner fire dream court sport year minute series think.,Hardware,Laptop,In Progress,Medium,Alexander,Jeremy,2025-10-05T21:58:54.840350
